SMILES_before,SMILES_before_synth,SMILES_after,SMILES_after_synth,syn_before,syn_after,syn_changed,obj_before,obj_before_synth,obj_after,obj_after_synth,obj_changed,obj_changed_synth,property,method
CC(NC(Cc1nbcnn1)C(=O)OCC(=O)N1C(C(=O)O)CC2CCCCC21)c1bpcnc1,,CCOC(=O)c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,CCOC(=O)c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,0,1,1,0.6610406870351978,,0.5091750772173156,0.5091750772173156,-0.15186560981788222,,Perindopril MPO,smiles_ga
CCOC(=O)C(Cc1c(C)[nH]c2ccccc12)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,CCOC(=O)C(Cc1c(C)[nH]c2ccccc12)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,CCCC(C(=O)O)n1c(C)c(C(=O)OCC)c2cc(C(=O)NC3CCCCC3)ccc21,CCOC(=O)C(CC(C)C)NC(=O)c1cc2cc(C(=O)NC3CCCCC3)ccc2n1CC,1,0,-1,0.7921180343813394,0.7921180343813394,0.594515160329885,0.5891582453098054,-0.19760287405145438,-0.202959789071534,Perindopril MPO,smiles_lstm
CCOC(=O)C(CCc1n[nH][nH]1)NC(C)C(=O)N1C(C(=O)c2n[nH][nH]2)CC2CCCCC21,,CCCc1ccc2c(c1)c(C(=O)OCC)c(C(=O)O)n2CC(=O)NC1CCCCC1,CCCc1ccc2c(c1)c(C(=O)OCC)c(C(=O)O)n2CC(=O)NC1CCCCC1,0,1,1,0.7849596270902193,,0.5599636792095523,0.5599636792095523,-0.224995947880667,,Perindopril MPO,graph_ga
CCOC(O)=C1C(COCCN2CC(=O)NC2=O)=NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc2c1OCO2,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1csc2ccccc12,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1csc2ccccc12,0,1,1,0.7164316689560741,0.7,0.6897304947150052,0.6897304947150052,-0.02670117424106888,-0.010269505284994707,Amlodipine MPO,best_from_chembl
C=C1NC(=O)PN1CCOCC1NC(C)=C(C(=O)OC)C(c2ccccc2Cl)C1=C(N)OCC,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1csc2ccccc12,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1csc2ccccc12,0,1,1,0.7258000511750563,,0.6897304947150052,0.6897304947150052,-0.036069556460051055,,Amlodipine MPO,smiles_ga
CCOC(=O)C1=C(COCCN2CC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CCOC(=O)C1=C(COCCN2CC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CCOC(=O)C1=C(C)NC(CCOCc2ccccc2Cl)=C(C(=O)OC)C1c1ccccc1Cl,CCOC(=O)C1=C(C)NC(CCOCc2ccccc2Cl)=C(C(=O)OC)C1c1ccccc1Cl,1,1,0,0.9045340337332908,0.9045340337332908,0.828416869579514,0.828416869579514,-0.07611716415377678,-0.07611716415377678,Amlodipine MPO,smiles_lstm
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1-c1[nH][nH]c1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1-c1c[nH]cc1Cl,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1-c1ccccc1COCCN,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1-c1ccccc1COCCN,0,1,1,0.8859719163490114,0.8825799501580878,0.7323685113135575,0.7323685113135575,-0.1536034050354539,-0.15021143884453025,Amlodipine MPO,graph_ga
COc1ccc(C2=Nc3c(c(=O)n(C)c(=O)n3C)C(C(F)(F)F)(C(F)(F)F)N2)cc1,CC(=O)NCCNC(=O)c1cn(Cc2ccc(F)c(C(F)(F)F)c2)cn1,CN=C(S)NNC(=O)c1ccc(=O)n(Cc2cccc(C(F)(F)F)c2)c1,CC(=O)NCCNC(=O)c1cn(Cc2ccc(F)c(C(F)(F)F)c2)cn1,0,0,0,0.5983893424171501,0.5001341333023714,0.5601864236642313,0.5001341333023714,-0.03820291875291881,0.0,Sitagliptin MPO,best_from_chembl
COc1ccc(C2=Nc3c(c(=O)n(C)c(=O)n3C)C(C(F)(F)F)(C(F)(F)S)N2)cc1,CC(=O)NCCNC(=O)c1cn(Cc2ccc(F)c(C(F)(F)F)c2)cn1,CN=C(S)NNC(=O)c1ccc(=O)n(Cc2cccc(C(F)(F)F)c2)c1,CC(=O)NCCNC(=O)c1cn(Cc2ccc(F)c(C(F)(F)F)c2)cn1,0,0,0,0.6188983494185702,0.5001341333023714,0.5601864236642313,0.5001341333023714,-0.05871192575433892,0.0,Sitagliptin MPO,smiles_ga
COc1ccc(C2=Nc3c(c(=O)n(C)c(=O)n3C)C(C(F)(F)F)(C(F)(F)F)N2)cc1,CC(NC(=O)Cn1ccc(C(F)(F)F)n1)C(=O)NCc1ccc(F)cc1,O=C(CNC(=S)NN=Cc1ccc(F)cc1)NN=Cc1ccc(F)cc1,O=C(CNC(=S)NN=Cc1ccc(F)cc1)NN=Cc1ccc(F)cc1,0,1,1,0.5983893424171501,0.5164406027603166,0.5801896781194161,0.5801896781194161,-0.01819966429773401,0.06374907535909957,Sitagliptin MPO,smiles_lstm
OC(NN=CC1=CC=CC(F)C1F)(C1=CC(F)C(F)C(F)C1F)n1cncn1,,O=C(NCC(=O)N(CF)NN=Cc1ccc(F)cc1)c1ccc(F)cc1,Cn1c(CC(=O)NNC(=O)CCC(F)(F)C(F)F)nc2ccccc21,0,0,0,0.8436766020050456,,0.6025375935570296,0.5860204260763034,-0.24113900844801595,,Sitagliptin MPO,graph_ga
CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,1,0,0.5850564821770182,0.5850564821770182,0.5850564821770182,0.5850564821770182,0.0,0.0,Zaleplon MPO,best_from_chembl
CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,1,0,0.5850564821770182,0.5850564821770182,0.5850564821770182,0.5850564821770182,0.0,0.0,Zaleplon MPO,smiles_ga
CCN(C(C)=O)c1cccc(-c2cnc3ccccc3n2)c1,CCN(C(C)=O)c1cccc(-c2cnc3ccccc3n2)c1,CCOc1cccc(-c2ccnc3c(-c4ccc(C)o4)cnn23)c1,CN(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,0,-1,0.6121820518278556,0.6121820518278556,0.6604318380922876,0.6119473344372246,0.04824978626443199,-0.00023471739063096742,Zaleplon MPO,smiles_lstm
CCN(C(C)=O)c1cccc(-c2ccnc3c(C(C)=O)cnn23)c1,CCN(C(C)=O)c1cccc(-c2ccnc3c(C(C)=O)cnn23)c1,CC=CC(=O)c1cnn2c(-c3cccc(CC(C)=O)c3)ccnc12,CC=CC(=O)c1cnn2c(-c3cccc(C(=O)CC)c3)ccnc12,1,0,-1,0.7296496257573512,0.7296496257573512,0.7031230493106524,0.7031230493106524,-0.026526576446698757,-0.026526576446698757,Zaleplon MPO,graph_ga
O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)N1,1,1,0,0.6033675445159313,0.6033675445159313,0.6033675445159313,0.6033675445159313,0.0,0.0,Valsartan SMARTS,best_from_chembl
O=C1COC(N2C(=O)c3cc(-c4ccccc4)ccc3C2O)C(=S)O1,O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)O1,BC1CSC(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,O=C1OC(O)CCC1N1C(=O)c2ccc(-c3ccc(F)cc3)cc2C1=O,0,0,0,0.9678896794742192,0.7999624363406679,0.8941730804909933,0.6900027214826767,-0.07371659898322591,-0.10995971485799116,Valsartan SMARTS,smiles_ga
CN(C)CCNCc1ccc(-c2ccc3c(c2)CN(C(=O)N(C)CCO)C3=O)cc1,CN(C)CCNCc1ccc(-c2ccc3c(c2)CN(C(=O)N(C)CCO)C3=O)cc1,O=C(O)CN1CCN(C(=O)c2ccc(-c3ccc(F)cc3F)cc2)C(=O)C1,O=C(O)CN1CCN(C(=O)c2ccc(-c3ccc(F)cc3F)cc2)C(=O)C1,1,1,0,0.9953005188642902,0.9953005188642902,0.9943595205200316,0.9943595205200316,-0.0009409983442585368,-0.0009409983442585368,Valsartan SMARTS,smiles_lstm
CN1C(=O)c2cc(-c3ccc(F)cc3)ccc2C12C=C(OOCN)NC2,O=C1NC(C(=O)N2CC=CC2=O)CN1Cc1ccc(-c2ccccc2)cc1,O=C1N=C(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)CN1,O=C1NCC=C(CN2C(=O)c3ccc(-c4ccccc4)cc3C2=O)N1,0,0,0,0.9860572882247852,0.6999167054986681,0.9634248022501186,0.8754156625451075,-0.022632485974666605,0.17549895704643936,Valsartan SMARTS,graph_ga
CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,1,1,0,0.9645068553737284,0.9645068553737284,0.9645068553737284,0.9645068553737284,0.0,0.0,Deco Hop,best_from_chembl
CCCCOc1cc2c(Nc3cccc(-c4csc(Cl)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(Cl)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cccc(-c4csc(C)n4)c3)ncnc2cc1OC,1,1,0,0.9645068553737284,0.9645068553737284,0.9645068553737284,0.9645068553737284,0.0,0.0,Deco Hop,smiles_ga
COc1cc2ncnc(Nc3ccc4ncoc4c3)c2cc1OC(C)(C)C,CCCOc1cc2ncnc(Nc3ccc4ncoc4c3)c2cc1OC(C)(C)C,COc1cc2ncnc(Nc3ccc4nnn(C)c4c3)c2cc1CC(C)C,COc1cc2ncnc(Nc3ccc4nnn(C)c4c3)c2cc1CC(C)C,0,1,1,0.9992111012217816,0.9992111012217816,1.0,1.0,0.0007888987782184165,0.0007888987782184165,Deco Hop,smiles_lstm
COc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1CC(C)C,COc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1CC(C)C,CCCCOc1cc2c(Nc3cc(OCC)cc(-c4ccccn4)c3)ncnc2cc1OC,CCCCOc1cc2c(Nc3cc(OCC)cc(-c4ccccn4)c3)ncnc2cc1OC,1,1,0,0.9928571428571428,0.9928571428571428,0.9729419296527829,0.9729419296527829,-0.01991521320435985,-0.01991521320435985,Deco Hop,graph_ga
CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,1,1,0,0.8277288061813038,0.8277288061813038,0.8277288061813038,0.8277288061813038,0.0,0.0,Scaffold Hop,best_from_chembl
CCc1cnc2nc(OCCC[IH2](CC)CI)c(C)cc2c1Nc1ccc2nc(Br)sc2c1,,CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,CCN(CC)CCCOc1cc2ncc(C#N)c(Nc3ccc4nc(N)sc4c3)c2cc1C,0,1,1,0.8850625459896984,,0.8277288061813038,0.8277288061813038,-0.05733373980839451,,Scaffold Hop,smiles_ga
CCCOc1cc2nc(CC)nc(Nc3ccc4ncsc4c3)c2c(OCC)c1CC(C)C,CCCCOc1cc2c(Nc3ccc4ncsc4c3)ncnc2c(OCCCCl)c1OCCCCl,CCCCOc1c(OCCC)c(C)c2ncnc(Nc3ccc4ncsc4c3)c2c1OC,CCCOC(=O)c1cc2c(Nc3ccc4ncsc4c3)nc(Br)nc2cc1OC,0,0,0,1.0,1.0,1.0,0.9990503323836656,0.0,-0.0009496676163344153,Scaffold Hop,smiles_lstm
CCc1nc(Nc2ccc3nc(C)sc3c2)c2cc(CC(C)C)c(OCCCCl)cc2n1,CCCOc1cc2nc(C)nc(Nc3ccc4nc(OC)sc4c3)c2cc1CC(C)C,CCCCOc1cc(CNc2ccc3nc(CC)sc3c2)c(OC)cc1OCCC,CCCCOc1cc(CNc2ccc3nc(CC)sc3c2)c(OC)cc1OCCC,0,1,1,1.0,1.0,0.8885806749884418,0.8885806749884418,-0.11141932501155816,-0.11141932501155816,Scaffold Hop,graph_ga
