SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,len_smiles,dataset,method,sa_score,sc_score
C=CCNC(=O)c1cccc(S(=O)(=O)N(C)Cc2c(C)noc2C)c1,1,2,0.6285567386426294,185.0,45,moses,aae,2.380413000882525,3.823403486155823
COC(=O)NCC(=O)NCc1ccsc1-n1cccc1,1,5,0.5657732145217677,39.0,31,moses,aae,2.5384453500473096,3.2789949598971573
CCS(=O)(=O)NCCNC(=O)c1cc(Cl)cn1C,1,4,0.09053785408166114,121.0,32,moses,aae,2.4460154259919147,3.4195473614598355
O=S(=O)(NCCO)c1cc(Br)ccc1Cl,1,1,0.9988815188407898,94.0,27,moses,aae,2.03829504188084,1.9507880496769456
COC(=O)C(NC(=O)c1ccc(NC(=O)C2CC2)s1)c1ccccc1,1,3,0.3217007681273581,35.0,44,moses,aae,2.653671669733363,2.8781648155269624
COC(=O)C(C)(C)NC(=O)CCCc1ccccc1,1,1,0.9994449019432068,55.0,31,moses,aae,1.9185427305067648,2.3681808511694653
CCCc1ccc(C)c(S(=O)(=O)N2c3ccnnc3N(C)CCC2)c1,1,5,0.1768244493013483,94.0,43,moses,aae,2.686212115297522,4.342084994246832
CS(=O)(=O)N1CCCC1(CNC(=O)c2cnccn1)C1CC1,-1,11,-1.0,-1.0,39,moses,aae,0.0,1.1742103122535654
COC(=O)C(NC(=O)c1cc(F)c(F)cc1Cl)C(C)(C)C,1,1,0.9977372884750366,21.0,40,moses,aae,2.662841563146401,2.588962766778403
CCS(=O)(=O)N(C)C(C#N)c1ccccc1Cl,1,4,0.4749864767715277,18.0,31,moses,aae,3.1494034989137605,2.430310485274328
COC(=O)C(NC(=O)C(C)n1cccn1)C(C)(C)C,1,3,0.9290206745840072,19.0,35,moses,aae,3.19315929621328,2.5591124010897763
O=S(=O)(NCc1cccs1)c1cccc(F)c1,1,1,0.9999637603759766,13.0,29,moses,aae,1.897705043379018,2.483501900949234
CC(NS(C)(=O)=O)C(=O)N1CCNCC1,1,2,0.9883496957156409,4.0,28,moses,aae,2.817670805107891,3.2290292331231956
COC(=O)C(NC(=O)CCC(=O)N(C)C)c1ccc(F)cc1F,1,2,0.9758670356121611,94.0,40,moses,aae,2.7176403218250957,2.9937870529315385
O=C(NC(C(=O)OC)c1ccccc1)c1ccc(OC)cc1,1,1,0.9999986886978148,2.0,36,moses,aae,2.089564889644576,2.2100263720856264
COC(=O)CN(C)S(=O)(=O)c1ccc(N)cc1,1,2,0.9791932150188032,3.0,32,moses,aae,1.9567404279944025,2.3607568965109564
COC(=O)C(C)NC(=O)c1snc(C#N)c1N,0,11,0.0,-1.0,30,moses,aae,3.3075358066060687,2.7106587192092246
Cc1ccc(Cc2nnc(NC(=O)C3CC3)n2N)cc1,0,11,0.0,-1.0,33,moses,aae,2.2879770591277016,3.667137590970555
O=C(CNC(=O)Nc1ccc2c(c1)OCO2)NCc1cccs1,1,2,0.9990393653665776,36.0,37,moses,aae,2.0905218625260726,3.4588865192869354
O=C(NCC(=O)N1CCCC1c1nc(C2CC2)no1)c1cccs1,1,4,0.9864279795501038,133.0,40,moses,aae,2.9154201558458315,4.56065944895755
CC(=O)C(N(CC(F)(F)F)C1CC1)c1ccc(F)cc1,1,3,0.1891738541480803,11.0,37,moses,aae,2.9095793888071686,2.758170804242007
N#Cc1ccsc1NC(=O)CCc1ccccc1O,1,1,0.9999774694442748,23.0,27,moses,aae,2.1365438153193903,2.9177953017006195
C=C(C)C(C)N(C)S(=O)(=O)c1cccc(F)c1F,0,11,0.0,-1.0,35,moses,aae,3.0271108046035806,2.973090077748071
COc1cccc(C(=O)N(C)Cc2cccs2)c1OC,1,1,0.9956204295158386,124.0,31,moses,aae,1.9828251360507778,2.5877078049505586
O=C(Cn1cccc(C(F)(F)F)c1=O)Nc1ccc2c(c1)OCCCO2,1,2,0.9934489143705036,54.0,44,moses,aae,2.2979740626986445,3.618961140587686
O=S(=O)(N1CCOCC1)N1CCCC1c1ccccn1,1,1,0.9790738821029664,130.0,32,moses,aae,2.841477752252441,3.3345605913792395
Cc1cc2c(c(C(O)c3cccc(F)c3)c1)OC(C)CN2,1,4,0.5771275445470356,12.0,37,moses,aae,3.3431674437858607,3.4146175334355093
Cc1c(=O)[nH]c(=O)c2ccc(C(=O)NCCC(C)(C)C)nc21,-1,11,-1.0,-1.0,44,moses,aae,0.0,1.1742103122535654
CCS(=O)(=O)NCC(=O)N1CCCC1c1ccccc1Cl,1,5,0.6145014400291571,91.0,35,moses,aae,2.6631978849854807,3.983077083359624
Cc1ccc2c(c1)NCCN2C(=O)c1cc(-c2ccc(C)o2)n[nH]1,1,2,0.9255908290835706,29.0,45,moses,aae,2.649034810678982,3.9333880025530834
CCC(=O)N1CCC(C(=O)Nc2nnc(Cc3ccc(C)cc3)s2)CC1,1,1,0.9995341300964355,120.0,44,moses,aae,2.1647538137879856,4.287873284458508
CCOc1cc(C#N)ccc1OCC(=O)Nc1nccs1,1,1,0.9999850988388062,101.0,31,moses,aae,2.1070451588937082,3.206271129465687
COC(=O)C(OC(=O)C1CCN(C(=O)C2CC2)CC1)c1cccc(Cl)c1,1,3,0.9063614776545508,99.0,48,moses,aae,2.6879383296137878,2.9872159017723914
CCCC(C)NC(=O)C(C)Sc1nc(C)nc(C)c1C(C)=O,1,6,0.7514077898334033,37.0,38,moses,aae,3.1668981448887834,3.6658188035124706
O=C(NCC1CCCO1)NC1(c2ccccc2)CCC1,1,2,0.9672755101640008,103.0,31,moses,aae,2.6797976461516466,3.1476995659471085
Cc1n[c(]c(=O)c1C(=O)Nc1ccc(C(F)(F)F)cc1,-1,11,-1.0,-1.0,39,moses,aae,0.0,1.1742103122535654
C=CCN(CC=C)C(=O)c1ccc(NC(=O)N2CCOCC2C2CC2)cc1,1,6,0.9638558574322584,99.0,45,moses,aae,3.0426468465225627,3.965571367504003
O=S(CCS(=O)(=O)c1cccs1)c1cccs1,1,4,0.5585672270391335,7.0,30,moses,aae,3.417134075836838,2.9690569211209175
O=C(CNC(=O)Cc1n[nH]c2ccccc12)Nc1cc[nH]n1,1,3,0.9960415243648534,72.0,40,moses,aae,2.7634329725713727,3.854131781394251
COC(=O)CN(C(=O)CSc1cc(C)ccc1C)C(C)C,1,2,0.9596144819842072,4.0,35,moses,aae,2.2375590050475545,2.8093152404808035
Cc1cc(S(=O)(=O)NC2CCCCC2)c(-c2ccccc2)n1,-1,11,-1.0,-1.0,39,moses,aae,0.0,1.1742103122535654
O=S(=O)(Oc1ccc(F)c(F)c1)c1cnn(-c2ccccc2)c1,1,3,0.9999175079799004,99.0,42,moses,aae,2.2003923173525326,3.3799037638092857
CNS(=O)(=O)c1ccc(C(C)NS(=O)(=O)c2ccccc2)cc1,1,3,0.2729017445461988,13.0,43,moses,aae,2.306779107629456,2.8403525781374093
CC(=O)C(NC(=O)C1(C#N)CCCCC1)C(C)(C)C,1,8,0.0843111916804967,132.0,36,moses,aae,3.218321552905415,2.869897306047447
CCC(=O)C(C)(C)CNC(=O)c1cc(-c2cccs2)n[nH]1,1,10,0.05726956040612144,81.0,41,moses,aae,2.7442876522624076,3.6236592696423613
COC(=O)C1(N(C)C(=O)CCc2cnsc2C)CCCCC1,0,11,0.0,-1.0,36,moses,aae,3.203970772066958,3.3081096655455493
COC(=O)C(C)(C)NC(=O)c1c(O)c2ccc(OC)cc2oc1=O,1,4,0.7580899234996559,12.0,43,moses,aae,2.4545325636054027,2.9058616956509793
O=S(=O)(c1cccs1)N1CCC(O)CC1,1,2,0.9946817662456766,6.0,27,moses,aae,2.131474877045676,2.5344374336305977
CCN(CC)S(=O)(=O)NC(C)c1ccc2c(c1)CC(=O)N2,0,11,0.0,-1.0,40,moses,aae,2.9778948694891803,3.674163855194268
O=C(NCC1CCCO1)Nc1ccc(NC(=O)NC2CCCC2)cc1,1,1,1.0,4.0,39,moses,aae,2.44091215746481,3.229043224170159
CC(=O)C(c1cccc(N)c1)C1(O)CCCCC1,1,4,0.9727744843615532,9.0,31,moses,aae,3.067455727680505,2.6272647362330472
COC(=O)C(NC(=O)CSc1ccc(C)cc1)C(C)C,1,1,0.9999151229858398,9.0,34,moses,aae,2.3322188663107966,2.20776273509758
Cc1cc(C(=O)NCc2ccc(Cl)cc2)c(C(C)C)n1,-1,11,-1.0,-1.0,36,moses,aae,0.0,1.1742103122535654
COC(=O)C(NC(=O)CNc1ccccc1)c1ccccc1,1,1,0.9988502264022828,13.0,34,moses,aae,2.210949505029193,2.3623987900270746
COC(=O)C(CNC(=O)c1ccc(C#N)cc1)Oc1ccc(F)cc1,1,3,0.9783534354033954,91.0,42,moses,aae,2.521850351052045,2.7405934367931497
COC(=O)C(C(C)C)N1CCn2c(C)nnc2C1,1,4,0.8528417913432476,40.0,31,moses,aae,3.178224619360253,3.2254914137022377
COC(=O)C(CC(C)C)NC(=O)c1sc(C)nc1C,1,1,0.9998389482498168,20.0,33,moses,aae,2.6155929375208,2.8876079384148623
COCCN(C(C)C)S(=O)(=O)c1ccc(C#N)cc1,1,1,0.9998598098754884,60.0,34,moses,aae,2.1722281290448784,2.565306890880917
O=C(CCCN1CCOC1=O)Nc1nccs1,1,2,0.9942116741436352,3.0,25,moses,aae,2.3708540229708532,3.055565667011138
CCS(=O)(=O)N1CCN(C(C)C)CC1,1,1,0.9983327984809875,5.0,26,moses,aae,2.0974938913054437,2.5263638869967195
Cc1cc(Br)ccc1SCC#CN,0,11,0.0,-1.0,19,moses,aae,2.9310820577011345,2.196585337519746
CCN(C(=O)C1CCN(c2cnc(N3CCOCC3)nc2)CC1)C1CC1,1,3,0.9567497261637256,29.0,43,moses,aae,2.505561797155968,4.127441880907558
C=C(C)CN(CC)C(=O)Nc1cc(NC(=O)C2CC2)nc(C)n1,1,2,0.6853736896675287,139.0,42,moses,aae,2.572561609202122,3.255464895129924
CC(C(=O)Oc1ccc(F)cc1)n1cc(Br)cn1,1,5,0.8972724019052505,3.0,32,moses,aae,2.6850858815266587,2.6767188448268473
CNC(=O)C(NC(=O)CN1CCN(CC(=O)NC2CC2)CC1)c1ccccc1,1,3,0.9948247989421118,90.0,47,moses,aae,2.5543382689413203,3.9313922864154454
COC(=O)C(NC(=O)c1ccc(OC(C)C)cc1)C(C)(C)C,1,1,0.9997510313987732,23.0,40,moses,aae,2.4487436694854274,2.575819691192712
CN(C(C)(C)C)S(=O)(=O)c1cn(C)c(C)n1,1,1,0.9782332181930542,79.0,34,moses,aae,2.807264244579102,3.3186536864335894
Cc1cccc1C(=O)NCCc1nnc2n1CCC2,-1,11,-1.0,-1.0,28,moses,aae,0.0,1.1742103122535654
CCC(=O)NCc1nnnn1-c1ccc(C)c(C)c1,1,4,0.9888050729001844,60.0,31,moses,aae,2.1367038056435312,4.0521305130686525
CCC(=O)N(C)CCc1cc2c(nc1C)CCN(S(C)(=O)=O)C2,0,11,0.0,-1.0,42,moses,aae,2.7194782345122945,4.754478921745547
CCN(CC(F)(F)F)C(=O)c1ccccc1F,1,2,0.9689876617441372,5.0,28,moses,aae,2.012337351071327,2.1721875294593067
O=C(Nc1ccccc1Cl)N1CCOCC1C1CC1,1,5,0.9642004513684432,86.0,29,moses,aae,2.638152014443877,3.3215007903733302
CCOC(=O)C(C)(C)C(O)c1ccc(OC)c(Br)c1,1,1,0.9981228709220886,4.0,35,moses,aae,2.736245552905414,2.019503138017453
O=C(NC(CCO)c1ccccc1)c1cccc2[nH]ccc12,1,1,0.9997164607048036,42.0,36,moses,aae,2.457018014644577,3.21173078350401
O=C(NCCO)c1snc(-c2ccccn2)c1N,0,11,0.0,-1.0,28,moses,aae,2.509813616037164,3.307087373613903
O=S(=O)(NC(=O)COc1ccc(Cl)cc1)c1ccccc1,1,1,0.9992454051971436,4.0,37,moses,aae,1.6928689137828865,2.3718095759688174
CCN(CC(=O)NC(C)C)C(=O)c1cccc(NC(C)=O)c1,1,2,0.9750885833159976,74.0,39,moses,aae,1.9207551694422982,3.247139475551709
CCS(=O)(=O)c1ccc(NCc2cccc(F)c2)cc1,1,1,0.9986532926559448,61.0,34,moses,aae,1.77885892725957,3.1850598358130164
O=C(Nc1cn[nH]c1)c1cc2c(ccc3ccccc32)[nH]1,1,1,0.9999933242797852,80.0,40,moses,aae,2.263696970308102,3.552628749761367
CCS(=O)(=O)NCCc1ccc(Cl)cc1Cl,1,1,0.9917694330215454,7.0,28,moses,aae,2.0415101927007466,2.859938779963314
CC(=O)(=O)NC(c1cc(F)cc(F)c1)C1CC(=O)N(C)C1,-1,11,-1.0,-1.0,42,moses,aae,0.0,1.1742103122535654
CC(NS(N)(=O)=O)c1nc(-c2ccncc2)cs1,1,4,0.9590964766038168,89.0,33,moses,aae,2.955119112295888,3.7745861975466757
CCC(=O)N(CC)CC(=O)Nc1cccc(Cl)c1Cl,1,2,0.9962801422119334,4.0,33,moses,aae,1.9880905724837916,2.7517647549633146
O=C(C(NC1CCCC1)N1CCOCC1)N1CC2CCCCC2C1,0,11,0.0,-1.0,37,moses,aae,3.614938404116927,3.3224374413939657
CCS(=O)(=O)NCC(=O)N(C)CC(O)C1CC1,1,3,0.3851220048016254,22.0,32,moses,aae,3.1946318905221522,3.1427298167618436
CNC(=O)C(NC(=O)c1ccc(-n2cncn2)nc1)c1ccccc1,1,5,0.8299534656436918,40.0,42,moses,aae,2.700473537865232,4.270171316941763
COC(=O)CN(C(=O)Cc1cn2ccsc2n1)C(C)C,1,2,0.954058453686038,87.0,34,moses,aae,2.6431902009858437,2.90357153264006
O=S(=O)(NCc1csc(C2CC2)n1)c1cn[nH]c1,1,6,0.9206114862037664,136.0,35,moses,aae,2.711386466715897,4.054856662605474
COC(=O)C(Cc1ccccc1)NC(=O)CSc1nc2ccccc2s1,1,1,0.99907648563385,6.0,40,moses,aae,2.4249540988445553,2.5199288417347248
O=C(CNC(=O)c1cc2ccccc2[nH]c1=O)Nc1ccccc1,1,1,0.9999185800552368,154.0,40,moses,aae,1.7888756133545645,3.101803215287687
CC(NS(=O)(=O)c1ccccc1)C(=O)N(C)c1ncccc1Cl,1,2,0.8831295027121627,6.0,41,moses,aae,2.738218668069017,3.3170320256024173
Cc1cc(S(=O)(=O)NCC2CCCOC2)cn1,-1,11,-1.0,-1.0,29,moses,aae,0.0,1.1742103122535654
O=C(CCSc1c(Cl)cccc1Cl)NCC1CCCO1,1,2,0.9938695815412756,8.0,31,moses,aae,2.6930609715739546,2.794214992617893
CS(=O)(=O)N(CC(N)=O)Cc1ccccc1Br,1,3,0.993450611311016,4.0,31,moses,aae,2.212549658763633,2.3515644779387603
COC(=O)C(C)(C)NC(=O)c1cc(Cl)c2c(c1)OCCCO2,1,5,0.8204496488432073,23.0,41,moses,aae,2.447767203340602,3.240048368394544
O=S(=O)(CC(=O)N1CCCCC1)c1ccc(F)cc1,1,1,0.994986653327942,28.0,34,moses,aae,1.883867811449047,2.4275375916675705
O=C(CC(F)(F)F)NCCSc1nnc(-c2ccc[nH]2)o1,1,3,0.9987284218640972,169.0,38,moses,aae,2.8926193701062246,3.973673500711838
CCC(=O)c1ccc(SCC(=O)Nc2cc(C)on2)cc1,1,2,0.9166661972414936,6.0,35,moses,aae,2.1000561367294317,2.9651289127091562
COC(=O)C(NC(=O)Cc1ccc2c(c1)CCO2)c1ccccc1,1,1,0.9988197684288024,36.0,40,moses,aae,2.5126214936384734,3.4117765913938376
Cc1(CC(F)(F)F)CCN(Cc2cccc3ccccc23)C1=O,1,5,0.13316494797137,78.0,38,moses,aae,2.9983228919701155,3.709326516163649
CC(=O)c1[nH]c(=O)[nH]c1CN1CCN(c2ccc(F)cc2)CC1,1,6,0.2705534076732158,5.0,45,moses,aae,2.3384981161691005,3.7433182803799427
CCCc1nnc(NC(=O)NC(C)C)s1,1,1,0.9995463490486144,53.0,24,moses,aae,2.205131993100352,3.2777000633802715
CCC(=O)(=O)c1ccc2c(c1)N(C)C(C)(C(=O)c1ccccc1)CO2,-1,11,-1.0,-1.0,48,moses,aae,0.0,1.1742103122535654
CC(=O)NC(C)(C(N)=O)c1cccc(Br)c1,1,4,0.9760920455654712,6.0,31,moses,aae,2.788575722091867,2.454148633869241
Nc1c(C(=O)NCC2CCCO2)nnn1-c1ccccc1,0,11,0.0,-1.0,33,moses,aae,2.629114156673092,3.5329640373965385
CNC(=O)c1cccc(NC(=O)CCC2CCCCC2)n1,1,2,0.998019462286166,13.0,33,moses,aae,2.0949436204321685,3.553528003055994
CCC(=O)NC(CC=C)C(F)(F)C(F)(F)F,1,4,0.9939747858488148,24.0,30,moses,aae,3.5155123154984604,2.7459963450597566
N=C(Cn1cnnn1)Nc1ccccc1OC(F)(F)F,1,2,0.8263073923581565,97.0,31,moses,aae,2.8237267844024263,3.0972363949866137
NC(=O)NC(=O)C1CCCc2c1cnn2Cc1ccccc1,0,11,0.0,-1.0,34,moses,aae,2.8774242303039177,3.761651978783538
CC(=O)(=O)c1ccc(-c2csc(-c3cccs3)n2)cc1,-1,11,-1.0,-1.0,38,moses,aae,0.0,1.1742103122535654
O=S(=O)(NC(CO)Cc1ccccc1)c1cc(F)ccc1F,1,1,0.9997259974479676,18.0,36,moses,aae,2.4462327332763554,3.0649940037800945
CCC(=O)N(C)CC(=O)Nc1cc(NC(C)=O)ccc1Cl,1,2,0.9500418928096934,14.0,37,moses,aae,1.9368057083442594,3.3752880357533943
CCC(=O)N=c1[nH]c(-c2cccc(F)c2)nc2c1c(=O)[nH]c(=O)n2C,0,11,0.0,-1.0,52,moses,aae,2.954606420123131,4.27576519057902
CS(=N)(=O)CCOc1ccc2ccccc2c1,1,4,0.8336981245312179,3.0,27,moses,aae,2.573516768144531,2.325235145298792
O=S(=O)(Cc1ccc(F)c(Cl)c1)c1ccc(O)cc1,1,2,0.9192277616483792,11.0,36,moses,aae,1.9003723163055817,2.869963668158842
CCC(=O)(=O)c1ccc(Cl)c(NC(=O)c2sccc2C)c1,-1,11,-1.0,-1.0,39,moses,aae,0.0,1.1742103122535654
CCC(=O)C1CS(=O)(=O)c2cc(Cl)ccc2N1,0,11,0.0,-1.0,33,moses,aae,3.412024167810082,3.327140931407827
CCNC(=O)C(C)NC(=O)CC(c1ccccc1)c1ccco1,1,1,0.9996306896209716,132.0,37,moses,aae,2.8431900309880405,3.3410074385011255
CC(=O)c1[nH]c(C)c(C(=O)COC(C)=O)c1C,1,3,0.7547187974869549,81.0,35,moses,aae,2.304358190232165,2.4623469761982593
COC(=O)C(C)(C)NC(=O)c1cncc(Br)c1,1,1,0.9999265670776368,25.0,32,moses,aae,2.3344819664559413,2.353411771069764
CC(=O)NC(C(=O)NCCNc1cnccn1)C(C)C,1,1,0.9999676942825316,103.0,32,moses,aae,2.69476460057653,4.150269519576263
CCC(CC)(CO)CNC(=O)C1CCCN(C(=O)Cc2ccccc2)C1,1,6,0.8222957980733681,6.0,42,moses,aae,2.781747102005781,3.8018238679740355
O=S(=O)(C1CCCCC1)N1CCCC1c1ccncc1,1,4,0.4264330313411048,29.0,32,moses,aae,2.8866615718810884,3.244638738910476
CC(=O)(=O)CCNC(=O)c1sccc1-c1ccccc1,-1,11,-1.0,-1.0,34,moses,aae,0.0,1.1742103122535654
O=C(CC(F)(F)F)N1CCCC1c1ccccc1Cl,1,3,0.989839653069472,19.0,31,moses,aae,2.5837055647397342,3.340817806472143
