SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,len_smiles,property,dataset,type,method,rank,objective
CN(C)CCOCC1CCC2C(CCN2C(=O)c2ccoc2)O1,0,11,0.0,-1.0,36,CNS MPO,chembl,wo,best_from_chembl,58,1.0
CN(C)C(=O)c1cc(-c2ccncc2)nnc1Cl,1,3,0.9548744170512689,18.0,31,CNS MPO,chembl,wo,best_from_chembl,59,1.0
CN(C)C(=O)N1Cc2c(-c3ccc(F)cc3)ncn2-c2ccccc21,1,6,0.9920154291921042,21.0,44,CNS MPO,chembl,wo,best_from_chembl,60,1.0
CCn1nc(C)c(CN(CCOC)C(=O)c2ccccc2N(C)C)c1C,1,1,0.9997456669807434,88.0,41,CNS MPO,chembl,wo,best_from_chembl,61,1.0
CCc1nnc2n1CCN(C(=O)c1cnc(C3CC3)s1)C2,1,3,0.9439761167155244,22.0,36,CNS MPO,chembl,wo,best_from_chembl,62,1.0
CCc1cccc2nc(C)oc(=O)c12,1,5,0.19319533015807894,6.0,23,CNS MPO,chembl,wo,best_from_chembl,63,1.0
CCc1c(C(=O)N2CCN(c3cnccn3)CC2)cnn1C(C)(C)C,0,11,0.0,-1.0,42,CNS MPO,chembl,wo,best_from_chembl,64,1.0
CCS(=O)(=O)N1CCOC(CCCc2ccccc2)C1,1,3,0.9447235289875944,65.0,32,CNS MPO,chembl,wo,best_from_chembl,65,1.0
CCOc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,1,3,0.5780161292648036,10.0,37,CNS MPO,chembl,wo,best_from_chembl,66,1.0
CCOC(C)OOC1(OOC)CCCCCCCCCCC1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,best_from_chembl,67,1.0
CCOC(=O)c1c(N=CN(C)C)sc(C(=O)OC)c1C,1,1,0.9994885921478271,54.0,35,CNS MPO,chembl,wo,best_from_chembl,68,1.0
CCOC(=O)c1c(C)oc2ccc(OC(=O)c3cccs3)cc12,1,1,0.9998635053634644,42.0,39,CNS MPO,chembl,wo,best_from_chembl,69,1.0
CCOC(=O)N1C(=O)c2cc(OC)ccc2S1(=O)=O,1,1,0.9995494484901428,2.0,35,CNS MPO,chembl,wo,best_from_chembl,70,1.0
CCOC(=O)Cn1nc(C=Cc2ccc(OC)cc2)ccc1=O,1,2,0.9816965326746184,7.0,36,CNS MPO,chembl,wo,best_from_chembl,71,1.0
CCOC(=O)C1CCN(C(=O)Cc2cccc3ccccc23)CC1,1,1,0.999964952468872,2.0,38,CNS MPO,chembl,wo,best_from_chembl,72,1.0
CCOC(=O)C1CCCN(C(=O)c2ccccc2[N+](=O)[O-])C1,1,1,0.9981516003608704,5.0,43,CNS MPO,chembl,wo,best_from_chembl,73,1.0
CCOC(=O)C1CC1C(=O)c1ccc(C(C)(C)C)cc1,1,2,0.978678034559458,34.0,36,CNS MPO,chembl,wo,best_from_chembl,74,1.0
CCOC(=O)C1=C(C=CN(C)C)C(C)(C)OC1=O,1,2,0.9989089568359476,10.0,34,CNS MPO,chembl,wo,best_from_chembl,75,1.0
CCOC(=O)C1(C)CCN1C(=O)c1ccc2c(c1)CCO2,1,8,0.24185271278707995,51.0,37,CNS MPO,chembl,wo,best_from_chembl,76,1.0
CCOC(=O)C(C)=Cc1ccc(Cn2ccnc2)n1C,0,11,0.0,-1.0,32,CNS MPO,chembl,wo,best_from_chembl,77,1.0
CCCn1c(=O)c2cccnc2n(CCC)c1=O,1,2,0.997272328020415,72.0,28,CNS MPO,chembl,wo,best_from_chembl,78,1.0
CCCc1nn(Cc2csc(CC)n2)c(=O)o1,1,2,0.9924833409378316,96.0,28,CNS MPO,chembl,wo,best_from_chembl,79,1.0
CCCc1nccn1Cc1coc(-c2ccccc2OCC)n1,1,2,0.9999858141127902,6.0,32,CNS MPO,chembl,wo,best_from_chembl,80,1.0
CCCCCCCCC1CCCc2c1c(=O)c(OC)c(C)n2OC,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,best_from_chembl,81,1.0
CCCCCCCC1=CC(=O)C=C(OC)C1=O,1,2,0.2232193135297269,2.0,27,CNS MPO,chembl,wo,best_from_chembl,82,1.0
CC1C=CN(N(C)C)C2=C1C(=O)c1cnccc1C2=O,0,11,0.0,-1.0,36,CNS MPO,chembl,wo,best_from_chembl,83,1.0
CC1C(=O)N2CCCc3cc(S(=O)(=O)N(C)c4ccccc4)cc1c32,1,9,0.5884714474477889,8.0,46,CNS MPO,chembl,wo,best_from_chembl,84,1.0
CC1(C)N=C(c2ccccn2)C(c2ccccn2)=NC1(C)C,0,11,0.0,-1.0,38,CNS MPO,chembl,wo,best_from_chembl,85,1.0
CC1(C)CC(=O)C2=C(C1)Oc1nc3ccccc3cc1C2C(C#N)C#N,0,11,0.0,-1.0,46,CNS MPO,chembl,wo,best_from_chembl,86,1.0
CC(CC#N)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,0,11,0.0,-1.0,41,CNS MPO,chembl,wo,best_from_chembl,87,1.0
CC(C)OC(=O)N1CC=C(c2cn(-c3cccnc3F)nn2)CC1,1,5,0.6527591320718927,123.0,41,CNS MPO,chembl,wo,best_from_chembl,88,1.0
CC(C)CN1C(=O)C(C(=O)c2ccccc2)C(=O)N(CC(C)C)C1=O,1,3,0.9707812585730388,9.0,47,CNS MPO,chembl,wo,best_from_chembl,89,1.0
CC(C)CN(C(=O)c1ccc2c(c1)OCO2)C1CCS(=O)(=O)C1,1,2,0.9972401484394312,100.0,44,CNS MPO,chembl,wo,best_from_chembl,90,1.0
CC(C)=CCOC(=O)C(C)=[N+]=[N-],0,11,0.0,-1.0,28,CNS MPO,chembl,wo,best_from_chembl,91,1.0
CC(C#N)N(CCc1ccccc1)C(=O)c1ccccc1,1,2,0.9916934450145832,6.0,33,CNS MPO,chembl,wo,best_from_chembl,92,1.0
CC(=O)c1cccc2c1C(=O)c1c(OCc3ccccc3)cccc1C2=O,1,5,0.24044324950425056,66.0,44,CNS MPO,chembl,wo,best_from_chembl,93,1.0
CC(=O)ON=Cc1ncccc1OC(C)=O,1,3,0.9935107566705692,8.0,25,CNS MPO,chembl,wo,best_from_chembl,94,1.0
CC(=O)N1CCOC(c2ccnc(N(C)C)n2)C1,0,11,0.0,-1.0,31,CNS MPO,chembl,wo,best_from_chembl,95,1.0
C=CC(=C)C1C(OC(C)=O)OC=C2C(CC=C(C)C)OC(=O)CC21,0,11,0.0,-1.0,46,CNS MPO,chembl,wo,best_from_chembl,96,1.0
C=C1C(C)=C(C#N)C(=O)N1N1CCCCC1,0,11,0.0,-1.0,30,CNS MPO,chembl,wo,best_from_chembl,97,1.0
C=C1C(=O)Oc2cc3c(cc2C1C(C)C)OCO3,0,11,0.0,-1.0,32,CNS MPO,chembl,wo,best_from_chembl,98,1.0
C=C1C(=O)ON(C)C1c1ccc2c(c1)OCO2,0,11,0.0,-1.0,31,CNS MPO,chembl,wo,best_from_chembl,99,1.0
C#CCN1CCN(Cc2ccc(OC(=O)N(C)C)c3ncccc23)CC1,1,4,0.9537045315527779,36.0,42,CNS MPO,chembl,wo,best_from_chembl,100,1.0
c1ccc2c(c1)COc1c3cc4c(cc3nn1-2)OCO4,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,graph_ga,1,1.0
c1ccc(Cc2nc(CN3CCCC3Cn3cncn3)cs2)cc1,1,6,0.3821761305844323,95.0,36,CNS MPO,chembl,wo,graph_ga,2,1.0
O=c1nc(Oc2ccccc2)nc2ncccn12,0,11,0.0,-1.0,27,CNS MPO,chembl,wo,graph_ga,3,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccoc3)csc12,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,graph_ga,4,1.0
O=c1c2cc3c(cc2ncn1Cc1ccc(-c2ccccc2)cc1)OCO3,1,4,0.6559745579555478,14.0,43,CNS MPO,chembl,wo,graph_ga,5,1.0
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,1,1,0.9986059069633484,82.0,41,CNS MPO,chembl,wo,graph_ga,6,1.0
O=[N+]([O-])c1ccc(-c2ccc3nnc(C(F)(F)F)n3c2)cc1,1,2,0.999997615815616,18.0,46,CNS MPO,chembl,wo,graph_ga,7,1.0
O=C1ON=C2C3CC4CC12CC1(C3)C(=O)ON=C41,0,11,0.0,-1.0,36,CNS MPO,chembl,wo,graph_ga,8,1.0
O=C1CCCCCN1SSN1CCCCCC1=O,1,2,0.08546828110622684,3.0,24,CNS MPO,chembl,wo,graph_ga,9,1.0
O=C1C=C(N=CC=Cc2ccccc2)c2ccccc2C1=O,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,graph_ga,10,1.0
O=C(c1csnn1)N1CCC2(CC1)CN(c1ccccn1)C2,1,3,0.9633563263737416,153.0,37,CNS MPO,chembl,wo,graph_ga,11,1.0
O=C(c1ccco1)N1CCOCC2(C1)CN(c1ccccn1)C(=O)CO2,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,graph_ga,12,1.0
O=C(c1cc(F)ccc1Br)N1CCN(C(=O)C2CC2)CC1,1,1,0.999887466430664,34.0,38,CNS MPO,chembl,wo,graph_ga,13,1.0
O=C(OCc1ccccc1)n1cc2ccccc2n1,1,1,0.999988317489624,3.0,28,CNS MPO,chembl,wo,graph_ga,14,1.0
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n1cccn1,1,2,0.98374072811378,7.0,37,CNS MPO,chembl,wo,graph_ga,15,1.0
O=C(CSc1nc(-c2ccccc2)ns1)N1CCOCC1,1,2,0.9998080143970256,75.0,33,CNS MPO,chembl,wo,graph_ga,16,1.0
O=C(C=Cc1ccccc1)c1ccc(OCC2=NCCO2)cc1,1,2,0.23777812037590795,12.0,36,CNS MPO,chembl,wo,graph_ga,17,1.0
N#Cc1cccc(OC(=O)c2ccc3c(=O)n4c(nc3c2)CCC4)c1,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,graph_ga,18,1.0
Cn1c(=O)c2c(cc(-c3cccc4ccccc34)n2C)n(C)c1=O,1,5,0.4782207860905548,31.0,43,CNS MPO,chembl,wo,graph_ga,19,1.0
Clc1snnc1CN1CCCCC1Cn1cncn1,1,5,0.7311361102649546,97.0,26,CNS MPO,chembl,wo,graph_ga,20,1.0
Clc1ncn2c1Cn1ncnc1-c1cc(-n3ccnc3)ccc1-2,0,11,0.0,-1.0,39,CNS MPO,chembl,wo,graph_ga,21,1.0
Cc1nnc2n1CCN(C(=O)c1cn(-c3ccc(F)cc3)nn1)C2,1,3,0.9953715434567288,127.0,42,CNS MPO,chembl,wo,graph_ga,22,1.0
Cc1nnc2n1-c1ccc(-c3cncc4ccccc34)cc1CC2,1,3,0.9987117820288844,85.0,38,CNS MPO,chembl,wo,graph_ga,23,1.0
Cc1nn(CCOc2ccccc2)c(=O)n1-c1ccc(F)cc1,1,3,0.9976409895436416,6.0,37,CNS MPO,chembl,wo,graph_ga,24,1.0
Cc1nccn1CCC(=O)N1CCC2(CCC(=O)N(CC3CC3)C2)CC1,1,6,0.9958568688991812,67.0,44,CNS MPO,chembl,wo,graph_ga,25,1.0
Cc1nc(N2CCC3(CCCN(C(C)C)C3=O)C2)c2sccc2n1,1,8,0.9726291572458912,108.0,41,CNS MPO,chembl,wo,graph_ga,26,1.0
Cc1ccc(N(CC2CO2)S(=O)(=O)c2ccc(C)cc2)cc1,1,2,0.9822530299843812,4.0,40,CNS MPO,chembl,wo,graph_ga,27,1.0
Cc1ccc(C2CN(c3cc(-n4nc(C)nc4C)nc(C)n3)C2)nc1,1,4,0.9958831993026478,53.0,44,CNS MPO,chembl,wo,graph_ga,28,1.0
Cc1ccc(C)n2nc(CCc3nc(-c4cccnc4)cn3C)nc12,0,11,0.0,-1.0,40,CNS MPO,chembl,wo,graph_ga,29,1.0
Cc1ccc(-n2nncc2-c2ccccn2)cc1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,graph_ga,30,1.0
Cc1ccc(-n2c(SCC3CCCCO3)nnc2-c2ccco2)cc1,1,3,0.9995761562883104,24.0,39,CNS MPO,chembl,wo,graph_ga,31,1.0
Cc1cc(N2CCN(c3ccc(F)cc3)CC2)n2cnnc2n1,1,3,0.6995226401003621,6.0,37,CNS MPO,chembl,wo,graph_ga,32,1.0
C[S+]([O-])CCCCCCCCn1ccnc1,0,11,0.0,-1.0,26,CNS MPO,chembl,wo,graph_ga,33,1.0
C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,1,5,0.9806120599624436,29.0,40,CNS MPO,chembl,wo,graph_ga,34,1.0
CSCCC(=O)N1CCCN(Cc2cnn(C(C)C)c2)CC1,1,2,0.9584588850417576,84.0,35,CNS MPO,chembl,wo,graph_ga,35,1.0
CSCC(=O)N1CCC(c2nccn2Cc2cscn2)CC1,1,5,0.9448824468705396,74.0,33,CNS MPO,chembl,wo,graph_ga,36,1.0
CS(=O)(=O)OCCCOS(C)(=O)=O,1,0,1.0,63.0,25,CNS MPO,chembl,wo,graph_ga,37,1.0
COc1cccc(OCC2CCCN(C(=O)c3cnn(C)c3)C2)c1,1,1,0.999998927116394,28.0,39,CNS MPO,chembl,wo,graph_ga,38,1.0
COc1cccc(CN(C)C(=O)CN2CCN(c3nccn3C)CC2)c1,1,4,0.9981825736244448,95.0,41,CNS MPO,chembl,wo,graph_ga,39,1.0
COc1cccc(-n2nnc(-c3nc(-c4ccccc4F)no3)c2C)c1,0,11,0.0,-1.0,43,CNS MPO,chembl,wo,graph_ga,40,1.0
COc1cccc(-c2cc(C(F)(F)F)nc(S(C)(=O)=O)n2)c1,1,2,0.9996571604761468,64.0,43,CNS MPO,chembl,wo,graph_ga,41,1.0
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,1,1,0.9994307160377502,15.0,36,CNS MPO,chembl,wo,graph_ga,42,1.0
COc1ccc(C2SCC(=O)N2c2ncc(C)s2)cc1,1,1,0.9992313385009766,3.0,33,CNS MPO,chembl,wo,graph_ga,43,1.0
COc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,1,1,0.9999979734420776,44.0,37,CNS MPO,chembl,wo,graph_ga,44,1.0
COc1ccc(-n2nnnc2-c2cn(C)nc2C(F)(F)F)cc1,0,11,0.0,-1.0,39,CNS MPO,chembl,wo,graph_ga,45,1.0
COc1ccc(-c2csc(N3CCOCC3)n2)cc1OC,1,1,1.0,106.0,32,CNS MPO,chembl,wo,graph_ga,46,1.0
COc1cc2c(cc1OC)C(=CC(C)=O)OC2,1,9,0.09149882803860013,18.0,29,CNS MPO,chembl,wo,graph_ga,47,1.0
COc1cc2c(cc1OC)-c1cc3ccccc3c(=O)n1CCC2,1,5,0.9466098127335856,83.0,38,CNS MPO,chembl,wo,graph_ga,48,1.0
COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,graph_ga,49,1.0
COP1(=O)OCC2COC(=O)C2=C(C)O1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,graph_ga,50,1.0
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,1,1,0.9996441602706908,69.0,39,CNS MPO,chembl,wo,graph_ga,51,1.0
COC(=O)c1cc2c(o1)c1ccccc1n2Cc1ccc(F)cc1,1,9,0.8452264372292189,6.0,39,CNS MPO,chembl,wo,graph_ga,52,1.0
COC(=O)CCc1nc(-c2ccccc2)no1,1,1,1.0,13.0,27,CNS MPO,chembl,wo,graph_ga,53,1.0
COC(=O)C1CCN(C(=O)C23CCC(C)(C(=O)O2)C3(C)C)CC1,1,2,0.6549512478050694,8.0,46,CNS MPO,chembl,wo,graph_ga,54,1.0
COC(=O)C1=C(C)N(c2ccc(C)cc2)C(=Cc2cccs2)C1=O,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,graph_ga,55,1.0
COC(=O)C1(CCCCl)CCCN1C(=O)OC(C)(C)C,1,4,0.8388936538401771,11.0,35,CNS MPO,chembl,wo,graph_ga,56,1.0
CN1CCC(N(C)Cc2ccccc2[N+](=O)[O-])CC1,1,1,0.9998710155487059,58.0,36,CNS MPO,chembl,wo,graph_ga,57,1.0
CN(C)CCOCC1CCC2C(CCN2C(=O)c2ccoc2)O1,0,11,0.0,-1.0,36,CNS MPO,chembl,wo,graph_ga,58,1.0
CN(C)C(=O)c1cc(-c2ccncc2)nnc1Cl,1,3,0.9548744170512689,18.0,31,CNS MPO,chembl,wo,graph_ga,59,1.0
CN(C)C(=O)N1Cc2c(-c3ccc(F)cc3)ncn2-c2ccccc21,1,6,0.9920154291921042,21.0,44,CNS MPO,chembl,wo,graph_ga,60,1.0
CCn1nc(C)c(CN(CCOC)C(=O)c2ccccc2N(C)C)c1C,1,1,0.9997456669807434,88.0,41,CNS MPO,chembl,wo,graph_ga,61,1.0
CCc1nnc2n1CCN(C(=O)c1cnc(C3CC3)s1)C2,1,9,0.701688764407386,15.0,36,CNS MPO,chembl,wo,graph_ga,62,1.0
CCc1cccc2nc(C)oc(=O)c12,1,5,0.19319533015807894,6.0,23,CNS MPO,chembl,wo,graph_ga,63,1.0
CCc1c(C(=O)N2CCN(c3cnccn3)CC2)cnn1C(C)(C)C,0,11,0.0,-1.0,42,CNS MPO,chembl,wo,graph_ga,64,1.0
CCS(=O)(=O)N1CCOC(CCCc2ccccc2)C1,1,3,0.9447235289875944,65.0,32,CNS MPO,chembl,wo,graph_ga,65,1.0
CCOc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,1,3,0.5780161292648036,10.0,37,CNS MPO,chembl,wo,graph_ga,66,1.0
CCOC(C)OOC1(OOC)CCCCCCCCCCC1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,graph_ga,67,1.0
CCOC(=O)c1c(N=CN(C)C)sc(C(=O)OC)c1C,1,1,0.9994885921478271,54.0,35,CNS MPO,chembl,wo,graph_ga,68,1.0
CCOC(=O)c1c(C)oc2ccc(OC(=O)c3cccs3)cc12,1,1,0.9998635053634644,42.0,39,CNS MPO,chembl,wo,graph_ga,69,1.0
CCOC(=O)N1C(=O)c2cc(OC)ccc2S1(=O)=O,1,1,0.9995494484901428,2.0,35,CNS MPO,chembl,wo,graph_ga,70,1.0
